class_id,course_code,professor,day,time
41620,ETE 341,"Cathell,Matthew  ",Wed ,4:00 PM
41610,ETE 361,"Roses,Sheryl  ",Wed ,5:30 PM
41614,ETE 361,"Roses,Sheryl  ",Wed ,8:30 PM
41611,ETE 385,"O'Brien,Steve  ",Mon ,3:30 PM
42722,ETE 461,"Beykirch,Nicholas  ",Tues ,5:30 PM
42723,ETE 461,"Beykirch,Nicholas  ",Tues ,8:30 PM
41615,ETE 492,"Beykirch,Nicholas  ",Thurs ,5:30 PM
41625,ETE 492,"Beykirch,Nicholas  ",Thurs ,8:30 PM
41618,ETE 495,"Figueroa,Manuel  ",Mon Thurs ,12:30 PM
40074,FIN 201,"Hume,Susan  ",Mon Thurs ,2:00 PM
40094,FIN 201,"Hume,Susan  ",Mon Thurs ,2:00 PM
40096,FIN 201,"Hume,Susan  ",Mon Thurs ,3:30 PM
40077,FIN 201,"Hume,Susan  ",Mon Thurs ,3:30 PM
40097,FIN 201,"Lasky,Nicola  ",Tues Fri,9:30 AM
40101,FIN 201,"Bernard,Catherine  ",Tues ,5:30 PM
40210,FIN 201,"Bernard,Catherine  ",Mon ,5:30 PM
40092,FIN 310,"Bohnett,Clare  ",Tues Fri,8:00 AM
40091,FIN 310,"Kim,Tae-Nyun  ",Mon Thurs ,12:30 PM
40084,FIN 310,"Kim,Tae-Nyun  ",Mon Thurs ,2:00 PM
40102,FIN 310,"Bohnett,Clare  ",Tues Fri,9:30 AM
40099,FIN 310,"Singkamanand,Patrick  ",Thurs ,5:30 PM
40098,FIN 310,"Singkamanand,Patrick  ",Mon ,5:30 PM
40217,FIN 315,"Choi,Seung Hee  ",Tues Fri,9:30 AM
40075,FIN 320,"Mayo,Herbert  ",Mon Thurs ,2:00 PM
40085,FIN 320,"Mayo,Herbert  ",Mon Thurs ,12:30 PM
40078,FIN 330,"Choi,Seung Hee  ",Tues Fri,8:00 AM
40083,FIN 330,"Kim,Tae-Nyun  ",Mon Thurs ,9:30 AM
40089,FIN 330,"Sorokina,Nonna  ",Mon Thurs ,9:30 AM
